Customer_ID,Age,Gender,Privacy,tenure,Region
A89996572,78,F,Y,14,Marche
A89996584,76,F,Y,14,Lombardia
A89996591,77,F,N,14,Puglia
A89996605,76,F,Y,14,Emilia-Romagna
A89996632,62,F,Y,14,Toscana
A89996676,62,F,Y,14,Piemonte
A89996758,55,F,Y,14,Sicilia
A89996790,77,F,Y,14,Campania
A89996819,68,F,Y,14,Veneto
A89996830,71,F,Y,14,Toscana
A89996831,66,F,N,14,Veneto
A89996834,62,F,Y,14,Lombardia
A89996854,46,F,Y,14,Lazio
A89996876,77,F,Y,14,Piemonte
A89996888,57,F,Y,14,Emilia-Romagna
A89996898,68,F,Y,14,Sicilia
A89996901,73,F,Y,14,Lombardia
A89996937,84,F,Y,14,Liguria
A89996938,66,F,Y,14,Lombardia
A89996976,68,F,Y,14,Lombardia
A89996990,53,F,Y,14,Basilicata
A89997010,76,F,N,14,Lombardia
A89997026,51,F,Y,14,Sicilia
A89997051,55,F,N,14,Veneto
A89997054,63,F,N,14,Trentino-Alto Adige
A89997080,79,F,Y,14,Emilia-Romagna
A89997107,79,F,Y,14,Sicilia
A8996622,46,F,N,16,Lombardia
A89997130,80,F,Y,14,Lombardia
A89997131,53,F,Y,14,Toscana
A89997134,71,F,Y,14,Sicilia
A89997159,77,F,Y,14,Lombardia
A89997160,76,F,Y,14,Marche
A89997166,53,F,Y,14,Lazio
A89997169,36,F,Y,14,Lazio
A89997172,53,F,Y,14,Lazio
A89997175,79,F,N,14,Sicilia
A89997176,69,F,Y,14,Friuli-Venezia Giulia
A89997178,66,F,Y,14,Puglia
A89997186,72,F,Y,14,Emilia-Romagna
A89997194,73,F,Y,14,Sicilia
A89997208,49,F,Y,14,Trentino-Alto Adige
A89997215,56,F,Y,14,Lombardia
A89997216,55,F,Y,14,Toscana
A89997226,62,F,Y,14,Emilia-Romagna
A89997231,61,F,N,14,Umbria
A89997251,84,F,N,14,Calabria
A89997270,67,F,Y,14,Trentino-Alto Adige
A89997293,77,F,Y,14,Basilicata
A89997348,75,F,Y,14,Umbria
A89997380,75,F,Y,14,Veneto
A89997396,55,F,Y,14,Sicilia
A89997399,78,F,N,14,Emilia-Romagna
A89997409,67,F,Y,14,Friuli-Venezia Giulia
A89997412,92,F,Y,14,Puglia
A89997425,51,F,N,14,Marche
A89997432,53,F,Y,14,Abruzzo
A89997452,67,F,Y,14,Veneto
A89997465,59,F,Y,14,Marche
A89997476,52,F,Y,14,Umbria
A89997483,59,F,Y,14,Veneto
A8996658,52,F,Y,16,Lombardia
A89997502,78,F,Y,14,Piemonte
A89997512,56,F,N,14,Toscana
A8996661,42,M,Y,16,Puglia
A89997555,66,F,Y,14,Trentino-Alto Adige
A89997562,72,F,Y,14,Lombardia
A89997572,75,F,N,14,Emilia-Romagna
A89997621,76,F,Y,14,Emilia-Romagna
A89997636,70,F,Y,14,Puglia
A89997656,75,F,Y,14,Trentino-Alto Adige
A89997657,50,F,Y,14,Lombardia
A89997677,74,F,Y,14,Lombardia
A89997679,82,F,Y,14,Lombardia
A8996678,45,F,Y,16,Lombardia
A89997686,65,M,Y,14,Piemonte
A89997700,89,F,N,14,Marche
A8996681,40,M,N,15,Lombardia
A89997726,87,F,Y,14,Toscana
A89997776,70,F,N,14,Friuli-Venezia Giulia
A89997800,78,F,Y,14,Veneto
A89997843,57,F,Y,14,Friuli-Venezia Giulia
A89997867,54,F,,14,Molise
A89997874,71,F,Y,14,Lombardia
A8996697,40,F,N,16,Lombardia
A89997882,63,F,Y,14,Piemonte
A89997883,55,F,,.,
A89997884,61,F,N,14,Emilia-Romagna
A89997887,54,F,Y,14,Puglia
A89997916,65,F,Y,14,Basilicata
A89997922,62,F,Y,14,Emilia-Romagna
A89997939,85,F,Y,14,Liguria
A89997981,63,F,N,14,Veneto
A89997984,74,F,Y,14,Lombardia
A89997988,68,F,,.,
A89997989,72,F,Y,14,Piemonte
A89997992,77,F,N,14,Liguria
A89997994,64,F,N,14,Veneto
A89997998,63,F,Y,14,Piemonte
A89997999,59,F,Y,14,Umbria
A89998000,68,F,Y,14,Trentino-Alto Adige
A89998002,65,F,Y,14,Veneto
A8996710,64,F,N,16,Lombardia
A89998023,83,F,N,14,Friuli-Venezia Giulia
A89998049,48,F,N,14,Veneto
A8996715,43,F,Y,16,Puglia
A89998056,62,F,Y,14,Marche
A89998071,68,F,Y,14,Lombardia
A89998112,65,F,N,14,Lombardia
A89998124,63,F,Y,14,Campania
A89998128,49,F,N,14,Lombardia
A89998131,79,F,N,14,Emilia-Romagna
A89998146,51,F,Y,14,Sicilia
A89998147,77,F,,.,
A8996726,50,F,N,16,Lombardia
A89998194,51,F,Y,14,Marche
A89998218,61,F,N,14,Liguria
A89998224,53,F,Y,14,Marche
A89998230,78,F,Y,14,Sicilia
A89998233,57,F,Y,14,Liguria
A89998245,67,F,N,14,Piemonte
A8996734,50,F,Y,16,Lombardia
A89998248,61,F,Y,14,Campania
A89998250,54,F,Y,14,Emilia-Romagna
A89998254,64,F,Y,14,Lombardia
A89998256,46,F,N,14,Veneto
A89998262,87,F,Y,14,Lazio
A89998267,73,F,Y,14,Friuli-Venezia Giulia
A89998271,57,F,Y,14,Toscana
A8996737,45,F,N,16,Lombardia
A89998276,54,F,N,14,Emilia-Romagna
A89998280,69,F,N,14,Emilia-Romagna
A89998292,67,F,Y,14,Sicilia
A89998308,69,F,N,14,Veneto
A89998317,59,F,Y,14,Piemonte
A89998320,67,F,Y,14,Lazio
A89998324,45,F,Y,14,Sicilia
A89998326,56,F,N,14,Friuli-Venezia Giulia
A89998332,56,F,Y,14,Veneto
A8996743,68,M,N,16,Lombardia
A89998370,71,F,Y,14,Lazio
A89998371,62,F,Y,14,Lazio
A89998372,56,F,N,14,Trentino-Alto Adige
A89998376,72,F,Y,14,Emilia-Romagna
A89998392,71,F,Y,14,Lombardia
A8996749,45,F,Y,15,Sicilia
A8996751,55,F,Y,16,Lombardia
A89998434,85,F,Y,14,Lazio
A8996754,68,F,N,15,Lombardia
A89998447,56,F,N,14,Lombardia
A89998457,46,F,Y,14,Emilia-Romagna
A89998481,46,F,N,14,Lombardia
A89998492,47,F,Y,14,Veneto
A8996763,58,M,N,16,Lombardia
A89998561,86,F,N,14,Piemonte
A89998565,72,F,Y,14,Abruzzo
A89998584,78,F,N,14,Veneto
A89998598,40,F,Y,14,Sardegna
A89998601,79,F,Y,14,Sardegna
A89998626,70,F,Y,14,Emilia-Romagna
A89998641,85,F,Y,14,Friuli-Venezia Giulia
A89998642,58,F,Y,14,Basilicata
A8996774,39,F,Y,16,Lombardia
A89998652,69,F,Y,14,Emilia-Romagna
A8996776,47,M,N,16,Lombardia
A89998676,49,F,N,14,Lombardia
A89998703,71,F,N,14,Marche
A89998704,67,F,Y,14,Lazio
A89998707,78,F,Y,14,Piemonte
A8996781,41,M,N,16,Lombardia
A89998718,83,F,Y,14,Liguria
A8996783,47,M,N,16,Lombardia
A89998751,65,F,N,14,Piemonte
A89998754,62,F,N,14,Emilia-Romagna
A89998782,61,F,Y,14,Liguria
A89998787,58,F,Y,14,Puglia
A89998799,58,F,Y,14,Sicilia
A89998811,68,F,Y,14,Trentino-Alto Adige
A89998821,65,F,Y,14,Emilia-Romagna
A89998827,77,F,Y,14,Lombardia
A89998830,61,F,Y,14,Veneto
A89998836,66,F,N,14,
A89998848,59,F,Y,14,Lombardia
A89998859,62,F,Y,14,Lazio
A89998891,52,F,Y,14,Piemonte
A89998894,77,F,Y,14,Emilia-Romagna
A8996803,58,F,N,16,Lombardia
A89998953,68,F,Y,14,Lazio
A89998961,66,F,Y,14,Lombardia
A89998967,77,F,Y,14,Lazio
A89998973,77,F,Y,14,Veneto
A8996809,60,F,N,11,Lombardia
A89999007,65,F,N,14,Liguria
A89999012,76,F,Y,14,Lazio
A89999013,67,F,Y,14,Emilia-Romagna
A89999019,62,F,Y,14,Marche
A89999023,68,F,Y,14,Veneto
A89999025,65,F,,.,
A89999028,67,F,N,14,Piemonte
A89999031,73,F,Y,14,Trentino-Alto Adige
A89999041,78,F,Y,14,Lazio
A89999046,64,F,N,14,Campania
A89999079,73,F,Y,14,Calabria
A89999085,57,F,Y,14,Lazio
A89999090,76,F,Y,14,Lombardia
A89999094,57,F,Y,14,Sicilia
A89999108,43,F,Y,14,Sicilia
A89999128,48,F,N,14,Umbria
A89999158,63,F,Y,14,Piemonte
A89999165,59,F,Y,14,Friuli-Venezia Giulia
A8996826,40,F,Y,16,Lombardia
A89999175,65,F,Y,15,Lombardia
A89999178,60,F,Y,14,Puglia
A89999185,72,F,Y,14,Veneto
A89999189,52,F,N,14,Campania
A89999194,58,F,Y,14,Umbria
A89999201,62,F,N,14,Campania
A89999210,50,F,Y,14,Calabria
A8996831,42,F,Y,16,Lombardia
A89999236,52,F,Y,14,Lazio
A89999261,54,F,Y,14,Friuli-Venezia Giulia
A89999274,62,F,Y,14,Veneto
A89999281,67,F,N,14,Lombardia
A89999287,86,F,Y,14,Emilia-Romagna
A89999299,49,F,Y,14,Lombardia
A89999318,87,F,N,14,Toscana
A8996842,44,F,N,16,Lombardia
A89999338,58,F,Y,14,Campania
A89999370,57,F,N,14,Calabria
A89999378,69,F,Y,14,Liguria
A89999423,63,F,Y,14,Veneto
A89999443,42,F,Y,14,Lombardia
A89999490,78,F,Y,14,Puglia
A89999501,78,F,Y,14,Piemonte
A89999527,59,F,Y,14,Abruzzo
A89999557,82,F,N,14,Sicilia
A89999575,81,F,Y,14,Campania
A89999585,60,F,Y,14,Emilia-Romagna
A89999587,59,F,Y,14,Puglia
A89999592,60,F,Y,14,Veneto
A89999612,61,F,Y,14,Marche
A89999621,52,F,N,14,Sicilia
A89999623,54,F,N,14,Calabria
A89999628,65,F,Y,14,Lazio
A89999631,76,F,Y,14,Piemonte
A89999633,63,F,Y,14,Emilia-Romagna
A89999636,50,F,Y,14,Sardegna
A89999644,71,F,Y,14,Sicilia
A89999645,41,F,Y,14,Puglia
A89999646,68,F,Y,14,Veneto
A89999653,68,F,Y,14,Calabria
A89999676,53,F,Y,14,Emilia-Romagna
A89999677,51,F,Y,14,Lombardia
A89999685,62,F,Y,14,Toscana
A8996878,65,F,Y,16,Lazio
A89999699,66,F,Y,14,Basilicata
A89999704,67,F,Y,14,Puglia
A89999716,72,F,Y,14,Piemonte
A89999745,52,F,N,14,Toscana
A89999775,56,F,Y,14,Campania
A89999784,52,F,Y,14,Friuli-Venezia Giulia
A89999805,69,F,Y,14,Lombardia
A89999812,72,F,Y,14,Puglia
A89999814,69,F,N,14,Lombardia
A8996893,62,F,Y,16,Lombardia
A89999836,83,F,Y,14,Piemonte
A89999849,91,F,Y,14,Marche
A89999868,69,F,Y,14,Marche
A89999879,74,M,Y,14,Lombardia
A89999887,62,F,N,14,Calabria
A89999892,62,F,Y,14,Piemonte
A89999897,87,F,Y,14,Sicilia
A89999909,56,F,N,14,Calabria
A89999915,61,F,Y,14,Emilia-Romagna
A89999919,70,F,Y,14,Veneto
A89999928,76,F,N,14,
A89999940,52,F,Y,14,Lazio
A8996904,72,F,Y,16,Emilia-Romagna
A89999948,61,F,Y,14,Trentino-Alto Adige
A89999963,83,F,Y,14,Lombardia
A89999966,54,F,Y,14,Veneto
A89999991,80,F,Y,14,Trentino-Alto Adige
A89999998,60,F,Y,14,Lombardia
A810000054,62,F,Y,14,Toscana
A810000057,70,F,Y,14,Piemonte
A810000064,47,F,Y,14,Piemonte
A810000081,87,F,N,14,Lombardia
A810000083,65,F,Y,14,Toscana
A8996918,63,F,Y,16,Emilia-Romagna
A810000086,65,F,Y,14,Lombardia
A810000100,67,F,Y,14,Emilia-Romagna
A810000102,68,F,Y,14,Marche
A810000104,79,F,N,14,Puglia
A810000121,81,F,Y,14,Basilicata
A810000126,62,F,Y,14,Sicilia
A810000127,60,F,Y,14,Sardegna
A810000129,65,F,Y,14,Emilia-Romagna
A810000140,70,F,Y,14,Friuli-Venezia Giulia
A810000151,77,F,N,14,Lombardia
A810000159,70,F,Y,14,Friuli-Venezia Giulia
A810000175,69,F,Y,14,Campania
A810000176,65,F,Y,14,Sardegna
A810000177,54,F,Y,14,Sicilia
A810000181,63,F,Y,14,Lombardia
A810000193,57,F,Y,14,Veneto
A810000197,66,F,Y,14,Lazio
A810000237,71,F,Y,14,Veneto
A810000242,65,F,N,14,Friuli-Venezia Giulia
A810000257,47,F,N,14,Sicilia
A810000259,73,F,Y,14,Toscana
A810000262,60,F,Y,14,Campania
A8996936,62,F,Y,16,Sicilia
A810000275,54,F,Y,14,Liguria
A810000294,81,F,Y,14,Toscana
A810000300,49,F,Y,14,Piemonte
A8996940,64,F,Y,16,Sardegna
A810000316,73,F,Y,14,Campania
A8996943,51,F,Y,16,Veneto
A810000339,62,F,N,14,Marche
A810000368,63,F,Y,14,Veneto
A810000376,58,F,Y,14,Toscana
A810000379,67,F,Y,14,Campania
A810000385,77,F,N,14,Piemonte
A810000390,56,F,Y,14,Lazio
A810000401,75,F,Y,14,Lombardia
A810000440,76,F,N,14,Liguria
A810000447,69,F,N,14,Lombardia
A8996956,92,F,Y,16,Basilicata
A810000472,72,F,Y,14,Emilia-Romagna
A810000473,80,F,N,14,Veneto
A810000478,87,F,Y,14,Marche
A810000483,66,F,Y,14,Estero
A810000485,72,F,Y,14,Campania
A810000491,62,F,Y,14,Lombardia
A810000496,63,F,Y,14,Lombardia
A810000527,72,F,N,14,Friuli-Venezia Giulia
A810000537,70,F,Y,14,Sicilia
A810000538,71,F,Y,14,Liguria
A810000540,61,F,Y,14,Lazio
A810000552,62,F,Y,14,Sicilia
A810000582,70,F,Y,14,Piemonte
A810000589,57,F,N,14,Abruzzo
A810000595,58,F,N,14,Abruzzo
A810000621,77,F,N,14,Toscana
A810000622,59,F,N,14,Sicilia
A810000628,77,F,Y,14,Lombardia
A810000648,47,F,N,14,Friuli-Venezia Giulia
A810000663,68,F,Y,14,Lazio
A810000685,69,F,Y,14,Lombardia
A810000737,60,F,N,14,Veneto
A810000741,69,F,Y,14,Friuli-Venezia Giulia
A810000756,61,F,Y,14,Veneto
